nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1697528140,1697528414.630553,groupby,G1_1e8_1e2_0_0,100000000,sum v1:v3 by id6,1000000,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.537,20.371,TRUE,299991302.000;799978221.000;5000103937.772,0.011,,FALSE
ip-172-31-31-147,1697528140,1697528415.208654,groupby,G1_1e8_1e2_0_0,100000000,sum v1:v3 by id6,1000000,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.526,21.164,TRUE,299991302.000;799978221.000;5000103937.772,0.002,,FALSE
ip-172-31-31-147,1697528140,1697528418.717709,groupby,G1_1e8_1e2_0_0,100000000,median v3 sd v3 by id4 id5,10000,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,3.458,24.6,TRUE,500019.998;288668.357,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528420.876853,groupby,G1_1e8_1e2_0_0,100000000,median v3 sd v3 by id4 id5,10000,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,2.0,26.173,TRUE,500019.998;288668.357,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528424.179391,groupby,G1_1e8_1e2_0_0,100000000,max v1 - min v2 by id3,1000000,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,3.138,25.955,TRUE,3998729.000,0.022,,FALSE
ip-172-31-31-147,1697528140,1697528426.813489,groupby,G1_1e8_1e2_0_0,100000000,max v1 - min v2 by id3,1000000,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,2.582,27.47,TRUE,3998729.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528435.340537,groupby,G1_1e8_1e2_0_0,100000000,largest two v3 by id6,2000000,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,8.477,32.927,TRUE,196996660.391,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528441.549151,groupby,G1_1e8_1e2_0_0,100000000,largest two v3 by id6,2000000,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,6.154,38.197,TRUE,196996660.391,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528443.778716,groupby,G1_1e8_1e2_0_0,100000000,regression v1 v2 by id2 id4,10000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,2.165,40.51,TRUE,1.007,0.011,,FALSE
ip-172-31-31-147,1697528140,1697528445.288573,groupby,G1_1e8_1e2_0_0,100000000,regression v1 v2 by id2 id4,10000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,1.444,41.962,TRUE,1.007,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528456.953652,groupby,G1_1e8_1e2_0_0,100000000,sum v3 count by id1:id6,100000000,8,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,11.354,47.918,TRUE,5000103937.772;100000000.000,0.253,,FALSE
ip-172-31-31-147,1697528140,1697528467.872504,groupby,G1_1e8_1e2_0_0,100000000,sum v3 count by id1:id6,100000000,8,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,10.746,53.881,TRUE,5000103937.772;100000000.000,0.131,,FALSE
ip-172-31-31-147,1697529451,1697529457,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.059,NA,TRUE,29998789,0.002,NA,FALSE
